City	State	lat	lon	Amount
ADA	OK	34.77	-96.66	1000.0
ADDISON	NY	42.1	-77.23	675.0
AKRON	NY	43.01	-78.49	5250.0
AKRON	OH	41.08	-81.52	2000.0
ALBANY	NY	42.66	-73.79	6000.0
ALBION	NY	43.24	-78.18	500.0
ALEXANDRIA	VA	38.8048355	-77.0469214	185438.32
ALFRED	NY	42.25	-77.78	4660.0
ALFRED STATION	NY	42.24	-77.81	930.0
ALLEGANY	NY	42.09	-78.49	50.0
ALLENTOWN	NY	42.06	-78.01	50.0
ALMOND	NY	42.31	-77.73	4000.0
ALPHARETTA	GA	34.0753762	-84.2940899	7000.0
ALPINE	NJ	40.95	-73.92	500.0
AMHERST	NY	42.88	-78.85	3250.0
ANDOVER	MA	42.6583356	-71.1367953	1000.0
ANDOVER	NY	42.15	-77.79	13010.0
ANGELICA	NY	42.3	-78.02	1010.0
ANGOLA	NY	42.63	-79.02	5700.0
ANNANDALE	VA	38.8303905	-77.1963703	500.0
ANNAPOLIS	MD	38.9784453	-76.4921829	5244.0
APALACHIN	NY	42.07	-76.16	25.0
APPLETON	WI	44.2619309	-88.41538469999999	11000.0
ARKPORT	NY	42.39	-77.69	750.0
ARLINGTON	TX	32.69	-97.12	1495.0
ARLINGTON	VA	38.8799697	-77.1067698	138900.0
ARLINGTON HEIGHTS	IL	42.0883603	-87.98062650000001	500.0
ARMONK	NY	41.13	-73.71	275.0
ATHENS	GA	33.9519347	-83.357567	3851.75
ATLANTA	GA	33.7489954	-84.3879824	9000.0
AUBREY	TX	33.3	-96.98	250.0
AUSTIN	TX	30.26	-97.74	1500.0
AVOCA	NY	42.4	-77.42	100.0
BAKERSFIELD	CA	35.35	-119.06	14000.0
BALA CYNWYD	PA	40.01	-75.22	1000.0
BALDWINSVILLE	NY	43.15	-76.33	150.0
BALLWIN	MO	38.5950532	-90.54623389999999	3000.0
BALTIMORE	MD	39.2903848	-76.6121893	750.0
BANNING	CA	33.92	-116.83	1000.0
BARTLESVILLE	OK	36.73	-95.94	2000.0
BATAVIA	NY	42.99	-78.18	1500.0
BATH	NY	42.33	-77.31	1310.0
